CASEID,DOBM,DOBY,IDATMM,IDATYY,CASE,RESPID,NUMUNION,NUMMAR,NUMCOHMR,HOWBEG01,HOWEND01,COHMAR01,BEGDAT01,BEGFLG01,ENDDAT01,ENDFLG01,MARDAT01,MARFLG01,SEPDAT01,SEPFLG01,DIVDAT01,DIVFLG01,WIDDAT01,WIDFLG01,COHDAT01,COHFLG01,HOWBEG02,HOWEND02,COHMAR02,BEGDAT02,BEGFLG02,ENDDAT02,ENDFLG02,MARDAT02,MARFLG02,SEPDAT02,SEPFLG02,DIVDAT02,DIVFLG02,WIDDAT02,WIDFLG02,COHDAT02,COHFLG02,HOWBEG03,HOWEND03,COHMAR03,BEGDAT03,BEGFLG03,ENDDAT03,ENDFLG03,MARDAT03,MARFLG03,SEPDAT03,SEPFLG03,DIVDAT03,DIVFLG03,WIDDAT03,WIDFLG03,COHDAT03,COHFLG03,HOWBEG04,HOWEND04,COHMAR04,BEGDAT04,BEGFLG04,ENDDAT04,ENDFLG04,MARDAT04,MARFLG04,SEPDAT04,SEPFLG04,DIVDAT04,DIVFLG04,WIDDAT04,WIDFLG04,COHDAT04,COHFLG04,HOWBEG05,HOWEND05,COHMAR05,BEGDAT05,BEGFLG05,ENDDAT05,ENDFLG05,MARDAT05,MARFLG05,SEPDAT05,SEPFLG05,DIVDAT05,DIVFLG05,WIDDAT05,WIDFLG05,COHDAT05,COHFLG05,HOWBEG06,HOWEND06,COHMAR06,BEGDAT06,BEGFLG06,ENDDAT06,ENDFLG06,MARDAT06,MARFLG06,SEPDAT06,SEPFLG06,DIVDAT06,DIVFLG06,WIDDAT06,WIDFLG06,COHDAT06,COHFLG06,HOWBEG07,HOWEND07,COHMAR07,BEGDAT07,BEGFLG07,ENDDAT07,ENDFLG07,MARDAT07,MARFLG07,SEPDAT07,SEPFLG07,DIVDAT07,DIVFLG07,WIDDAT07,WIDFLG07,COHDAT07,COHFLG07,HOWBEG08,HOWEND08,COHMAR08,BEGDAT08,BEGFLG08,ENDDAT08,ENDFLG08,MARDAT08,MARFLG08,SEPDAT08,SEPFLG08,DIVDAT08,DIVFLG08,WIDDAT08,WIDFLG08,COHDAT08,COHFLG08,HOWBEG09,HOWEND09,COHMAR09,BEGDAT09,BEGFLG09,ENDDAT09,ENDFLG09,MARDAT09,MARFLG09,SEPDAT09,SEPFLG09,DIVDAT09,DIVFLG09,WIDDAT09,WIDFLG09,COHDAT09,COHFLG09,HOWBEG10,HOWEND10,COHMAR10,BEGDAT10,BEGFLG10,ENDDAT10,ENDFLG10,MARDAT10,MARFLG10,SEPDAT10,SEPFLG10,DIVDAT10,DIVFLG10,WIDDAT10,WIDFLG10,COHDAT10,COHFLG10,DUPFLG,M2CP01,M2DP01,BKMK2,CHKPTM,birth_month,M499A,M528,M535,M536,M537,M538,M583A,M583B,M583C,M584,E904,E1006,E1341,SAMWT,MARCOHAB,CURMARCO,coh_t,mar_t,weeks,hours,work,married,cohab,state,unil,eq,birth,age_eq,age_uni
6318,12,54,7,2001,57126,R,6,1,1,coh,div,cohab,932,Mo and yr given,948,Mo and yr given,934,Mo and yr given,940,Mo and yr given,948,Mo and yr given,,,932,Mo and yr given,coh,sep,No,949,Mo and yr given,951,Mo and yr given,0,Mo and yr given,951,Mo and yr given,,,,,949,Mo and yr given,coh,sep,No,1028,Mo and yr given,1082,Mo and yr given,0,Mo and yr given,1082,Mo and yr given,,,,,1028,Mo and yr given,coh,sep,No,1107,Mo and yr given,1117,Mo and yr given,0,Mo and yr given,1117,Mo and yr given,,,,,1107,Mo and yr given,coh,sep,No,1118,Mo and yr given,1121,Mo and yr given,0,Mo and yr given,1121,Mo and yr given,,,,,1118,Mo and yr given,coh,sep,No,1125,Mo and yr given,1126,Mo and yr given,0,Mo and yr given,1126,Mo and yr given,,,,,1125,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,DIVORCED,MALE,COHABITING CIRCLED,INAPPLICABLE,660,Hungary,YES,30,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,98000,COHABIT-DIVORCED,1028,1,1,1,30,30,0,1,Hungary,0,0,1955,,
6320,10,45,10,2001,57139,R,1,1,1,coh,intact,cohab,955,Mo and yr given,0,Mo and yr given,977,Mo and yr given,0,Mo and yr given,,,,,955,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,MALE,COHAB NOT CIRCLED,YES,550,New York,YES,55,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,NO ANSWER,NO ANSWER,196000,MARRIED/LIVE W/SP,977,1,1,1,55,55,1,0,New York,0,1980,1946,34,
6321,8,51,2,2002,57163,R,1,1,0,mar,div,did not cohab,844,Mo and yr given,1038,Mo and yr given,844,Mo and yr given,1006,Mo and yr given,1038,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,DIVORCED,FEMALE,COHAB NOT CIRCLED,INAPPLICABLE,620,Louisiana,YES,37,INAPPLICABLE,YES,INAPPLICABLE,4,16,32,INAPPLICABLE,INAPPLICABLE,NO,NO,49000,NOT COHAB-DIVORCED,INAPPLICABLE,0,1,.38461539,37,14.230769,0,0,Louisiana,0,0,1952,,
6324,3,48,8,2001,57197,R,1,1,1,coh,intact,cohab,885,Mo and yr given,0,Mo and yr given,895,Mo and yr given,0,Mo and yr given,,,,,885,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,MALE,COHAB NOT CIRCLED,YES,579,New York,YES,72,INAPPLICABLE,NO,60,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,196000,MARRIED/LIVE W/SP,895,1,1,1,60,60,1,0,New York,0,1980,1948,32,
6329,10,46,9,2001,57235,R,1,1,1,coh,intact,cohab,894,Mth alloc midyr,0,Mo and yr given,908,Mo and yr given,0,Mo and yr given,,,,,894,Mth alloc midyr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,MALE,COHAB NOT CIRCLED,YES,562,California,YES,60,INAPPLICABLE,NO,53,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,98000,MARRIED/LIVE W/SP,908,1,1,1,53,53,1,0,California,1970,0,1947,,23
6333,1,53,11,2001,57272,R,2,1,1,coh,sep,did not cohab,933,Mo and yr given,977,Mo and yr given,0,Mo and yr given,977,Mo and yr given,,,,,933,Mo and yr given,coh,intact,Yes,997,Mo and yr given,0,Mo and yr given,1001,Mo and yr given,0,Mo and yr given,,,,,997,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,MALE,COHAB NOT CIRCLED,YES,637,Minnesota,YES,44,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,98000,MARRIED/LIVE W/SP,1001,1,1,1,44,44,1,0,Minnesota,1974,1927,1953,-26,21
6339,5,51,6,2002,57310,R,2,2,2,coh,div,cohab,888,Mo and yr given,995,Mo and yr given,936,Mo and yr given,978,Mo and yr given,995,Mo and yr given,,,888,Mo and yr given,coh,sep,Yes,986,Mo and yr given,1059,Mo and yr given,997,Mo and yr given,1059,Mo and yr given,,,,,986,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,617,California,YES,35,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,INAPPLICABLE,YES,98000,MARRIED/LIVE W/SP,997,1,1,1,35,35,1,0,California,1970,0,1951,,19
6341,2,49,11,2002,57336,R,1,1,0,mar,intact,did not cohab,846,Mo and yr given,0,Mo and yr given,846,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,590,Illinois,NO,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,0,52,NO,INAPPLICABLE,YES,YES,196000,MARRIED/LIVE W/SP,846,0,1,0,0,0,1,0,Illinois,0,1977,1949,28,
6345,2,46,12,2002,57373,R,1,1,1,coh,div,cohab,903,Mo and yr given,958,Mo and yr given,925,Mo and yr given,958,Mo and yr given,958,Mo and yr given,,,903,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,DIVORCED,FEMALE,COHAB NOT CIRCLED,INAPPLICABLE,554,Florida,YES,53,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,NO,NO,147000,NOT COHAB-DIVORCED,INAPPLICABLE,1,1,1,53,53,0,0,Florida,1971,1980,1946,34,25
6347,4,47,2,2003,57394,R,2,2,1,mar,div,did not cohab,851,Mo and yr given,1062,Mth alloc midyr,851,Mo and yr given,977,Mo and yr given,1062,Mth alloc midyr,,,,,coh,intact,Yes,1081,Mo and yr given,0,Mo and yr given,1085,Mo and yr given,0,Mo and yr given,,,,,1081,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,SEPARATED,FEMALE,COHAB NOT CIRCLED,INAPPLICABLE,568,New York,YES,50,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,NO,NO,24500,NOT COHAB-SEPARATD,INAPPLICABLE,0,1,1,50,50,0,0,New York,0,1980,1947,33,
6354,8,50,3,2001,57474,R,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,NEVER MARRIED,FEMALE,COHAB NOT CIRCLED,INAPPLICABLE,608,New York,YES,35,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,NO,294000,NOT COHAB-NVR MRRD,INAPPLICABLE,0,0,1,35,35,0,0,New York,0,1980,1951,29,
6357,9,48,6,2002,57517,R,2,2,1,mar,div,did not cohab,839,Mo and yr given,921,Mo and yr given,839,Mo and yr given,904,Mo and yr given,921,Mo and yr given,,,,,coh,intact,Yes,978,Mo and yr given,0,Mo and yr given,998,Mo and yr given,0,Mo and yr given,,,,,978,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,585,Louisiana,YES,NONE,YES,INAPPLICABLE,55,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,98000,MARRIED/LIVE W/SP,998,1,1,1,55,55,1,0,Louisiana,0,0,1949,,
6359,3,47,7,2002,57525,R,3,3,1,coh,div,cohab,858,Mth alloc midyr,894,Mth alloc midyr,858,Mth alloc midyr,882,Mth alloc midyr,894,Mth alloc midyr,,,858,Mth alloc midyr,mar,div,No,899,Mo and yr given,1048,Mo and yr given,899,Mo and yr given,1046,Mo and yr given,1048,Mo and yr given,,,,,mar,div,No,1100,Mo and yr given,1146,Mo and yr given,1100,Mo and yr given,1137,Mo and yr given,1146,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,DIVORCED,FEMALE,COHAB NOT CIRCLED,INAPPLICABLE,567,Mississippi,YES,40,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,NO,NO,73500,NOT COHAB-DIVORCED,INAPPLICABLE,1,1,1,40,40,0,0,Mississippi,0,1989,1947,42,
6363,9,47,7,2001,57583,R,3,2,1,mar,div,did not cohab,811,Mo and yr given,971,Mo and yr given,811,Mo and yr given,933,Mo and yr given,971,Mo and yr given,,,,,coh,sep,No,1041,Mo and yr given,1063,Mo alloc from season,0,Mo and yr given,1063,Mo alloc from season,,,,,1041,Mo and yr given,coh,intact,Yes,1149,Mo and yr given,0,Mo and yr given,1154,Mo and yr given,0,Mo and yr given,,,,,1149,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,DIVORCED,MALE,COHABITING CIRCLED,INAPPLICABLE,573,California,YES,45,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,98000,COHABIT-DIVORCED,1041,1,1,1,45,45,0,1,California,1970,0,1948,,22
6365,6,52,11,2001,57591,R,1,1,1,coh,intact,cohab,870,Mo and yr given,0,Mo and yr given,880,Mo and yr given,0,Mo and yr given,,,,,870,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,630,Illinois,NO,NONE,NO,INAPPLICABLE,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,NO,INAPPLICABLE,NO ANSWER,YES,196000,MARRIED/LIVE W/SP,880,1,1,1,0,0,1,0,Illinois,0,1977,1953,24,
6370,3,53,6,2001,57621,R,3,3,2,mar,div,did not cohab,839,Mo and yr given,853,Mo and yr given,839,Mo and yr given,843,Mo and yr given,853,Mo and yr given,,,,,coh,div,Yes,862,Mo and yr given,942,Mo and yr given,887,Mo and yr given,930,Mo and yr given,942,Mo and yr given,,,862,Mo and yr given,coh,intact,Yes,940,Mo and yr given,0,Mo and yr given,960,Mo and yr given,0,Mo and yr given,,,,,940,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,639,California,YES,43,INAPPLICABLE,YES,INAPPLICABLE,49,0,3,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,196000,MARRIED/LIVE W/SP,960,1,1,.94230771,43,40.51923,1,0,California,1970,0,1953,,17
6377,6,54,7,2002,57701,R,3,3,1,mar,div,did not cohab,863,Mo and yr given,1016,Mo and yr given,863,Mo and yr given,1009,Mo and yr given,1016,Mo and yr given,,,,,mar,div,No,1019,Mo and yr given,1229,Mo and yr given,1019,Mo and yr given,1227,Mo and yr given,1229,Mo and yr given,,,,,coh,intact,Yes,1227,Mo and yr given,0,Mo and yr given,1230,Mo and yr given,0,Mo and yr given,,,,,1227,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,654,Michigan,NO,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,0,52,YES,INAPPLICABLE,YES,YES,98000,MARRIED/LIVE W/SP,1019,0,1,0,0,0,1,0,Michigan,1972,1927,1955,-28,17
6379,12,46,12,2001,57727,R,2,1,0,mar,div,did not cohab,848,Mo and yr given,1025,Mo and yr given,848,Mo and yr given,1016,Mo and yr given,1025,Mo and yr given,,,,,coh,sep,No,1126,Mo and yr given,1162,Mo and yr given,0,Mo and yr given,1162,Mo and yr given,,,,,1126,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,DIVORCED,FEMALE,COHAB NOT CIRCLED,INAPPLICABLE,564,Illinois,YES,10,INAPPLICABLE,NO,25,30,0,22,INAPPLICABLE,INAPPLICABLE,NO,NO,49000,NOT COHAB-DIVORCED,INAPPLICABLE,0,1,.57692307,25,14.423077,0,0,Illinois,0,1977,1947,30,
6380,12,52,6,2001,57743,R,1,1,1,coh,intact,cohab,1042,Mo and yr given,0,Mo and yr given,1054,Mo and yr given,0,Mo and yr given,,,,,1042,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,MALE,COHAB NOT CIRCLED,YES,636,Minnesota,YES,40,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,98000,MARRIED/LIVE W/SP,1054,1,1,1,40,40,1,0,Minnesota,1974,1927,1953,-26,21
6386,3,53,9,2002,57810,R,2,2,0,mar,div,did not cohab,932,Mo and yr given,1013,Mo and yr given,932,Mo and yr given,1002,Mo and yr given,1013,Mo and yr given,,,,,mar,intact,No,1171,Mo and yr given,0,Mo and yr given,1171,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,DIVORCED,FEMALE,COHAB NOT CIRCLED,INAPPLICABLE,639,West Virginia,YES,40,INAPPLICABLE,YES,INAPPLICABLE,37,0,15,INAPPLICABLE,NO,INAPPLICABLE,NO ANSWER,49000,NOT COHAB-DIVORCED,INAPPLICABLE,0,1,.71153843,40,28.461536,0,0,West Virginia,1984,1985,1953,32,31
6391,6,48,3,2002,57860,R,1,1,0,mar,intact,did not cohab,815,Mo and yr given,0,Mo and yr given,815,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,MALE,COHAB NOT CIRCLED,YES,582,Alabama,YES,50,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,YES,196000,MARRIED/LIVE W/SP,815,0,1,1,50,50,1,0,Alabama,1971,1984,1949,35,22
6403,3,53,4,2002,57932,R,1,1,0,mar,div,did not cohab,978,Mo and yr given,1169,Mo and yr given,978,Mo and yr given,1160,Mo and yr given,1169,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,639,California,YES,NONE,YES,INAPPLICABLE,40,42,0,10,INAPPLICABLE,INAPPLICABLE,YES,YES,55958,MARRIED/LIVE W/SP,978,0,1,.80769229,40,32.307693,1,0,California,1970,0,1953,,17
6405,4,48,1,2002,57937,R,1,1,0,mar,intact,did not cohab,826,Mo and yr given,0,Mo and yr given,826,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,MALE,COHAB NOT CIRCLED,YES,580,Michigan,YES,44,INAPPLICABLE,YES,INAPPLICABLE,36,16,0,INAPPLICABLE,INAPPLICABLE,YES,YES,98000,MARRIED/LIVE W/SP,826,0,1,1,44,44,1,0,Michigan,1972,1927,1948,-21,24
6407,8,46,1,2003,57940,R,1,1,0,mar,intact,did not cohab,1014,Mo and yr given,0,Mo and yr given,1014,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,MALE,COHAB NOT CIRCLED,YES,560,Georgia,YES,40,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,YES,294000,MARRIED/LIVE W/SP,1014,0,1,1,40,40,1,0,Georgia,1973,1984,1947,37,26
6409,10,53,7,2002,57945,R,1,1,0,mar,intact,did not cohab,893,Mo and yr given,0,Mo and yr given,893,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,MALE,COHAB NOT CIRCLED,YES,646,Louisiana,YES,50,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,YES,98000,MARRIED/LIVE W/SP,893,0,1,1,50,50,1,0,Louisiana,0,0,1954,,
6412,6,50,6,2001,57958,R,3,3,0,mar,div,did not cohab,858,Mo and yr given,878,Mo and yr given,858,Mo and yr given,875,Mo and yr given,878,Mo and yr given,,,,,mar,div,No,930,Mo and yr given,1001,Mo and yr given,930,Mo and yr given,995,Mo and yr given,1001,Mo and yr given,,,,,mar,intact,No,1002,Mo and yr given,0,Mo and yr given,1002,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,MALE,COHAB NOT CIRCLED,YES,606,Illinois,YES,40,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,98000,MARRIED/LIVE W/SP,1002,0,1,1,40,40,1,0,Illinois,0,1977,1951,26,
6414,9,53,10,2002,57961,R,4,1,0,mar,div,did not cohab,902,Mo and yr given,934,Mo and yr given,902,Mo and yr given,934,Mo and yr given,934,Mo and yr given,,,,,coh,sep,No,947,Mo and yr given,972,Mo and yr given,0,Mo and yr given,972,Mo and yr given,,,,,947,Mo and yr given,coh,sep,No,1096,Mo and yr given,1111,Mo and yr given,0,Mo and yr given,1111,Mo and yr given,,,,,1096,Mo and yr given,coh,intact,No,1211,Mo and yr given,0,Mo and yr given,0,Mo and yr given,0,Mo and yr given,,,,,1211,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,DIVORCED,FEMALE,COHAB NOT CIRCLED,INAPPLICABLE,645,New York,YES,51,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,NO,98000,NOT COHAB-DIVORCED,INAPPLICABLE,1,1,1,51,51,0,0,New York,0,1980,1954,26,
